id,attributeName,attributeDefinition,storageType,missingValueCode,missingValueCodeExplanation,measurementScale,domain,formatString,definition,unit,numberType,exclusive...7,minimum,exclusive...9,maximum,propertyLabel...13,propertyURI...14,valueLabel...15,valueURI...16,propertyLabel...17,propertyURI...18,valueLabel...19,valueURI...20,propertyLabel,propertyURI,valueLabel,valueURI,metadata_pid
site-44,site,location of sampling,string,NA,data unavailable,nominal,enumeratedDomain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
date-45,date,"date of sampling, YYYY-MM-DD format",date,NA,data unavailable,dateTime,dateTimeDomain,YYYY-MM-DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
timeEST-46,timeEST,24 hour Eastern standard Time,date,NA,data unavailable,dateTime,dateTimeDomain,hh:mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
barcode-47,barcode,barcode inventory number for sample stored in Hubbard Brook physical sample archive,string,NA,No 1:1 match with this record and physical sample at this time,nominal,textDomain,NA,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
pH-48,pH,a measure of hydrogen ion concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,dimensionless,real,false,3.7,false,7.22,has unit,http://qudt.org/schema/qudt/hasUnit,Unitless,http://qudt.org/vocab/unit/UNITLESS,has unit,http://qudt.org/schema/qudt/hasUnit,Unitless,http://qudt.org/vocab/unit/UNITLESS,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
DIC-49,DIC,Dissolved inorganic carbon concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,micromolePerLiter,whole,false,0,false,961,has unit,http://qudt.org/schema/qudt/hasUnit,Micromoles per litre,http://qudt.org/vocab/unit/MicroMOL-PER-L,has unit,http://qudt.org/schema/qudt/hasUnit,Micromoles per litre,http://qudt.org/vocab/unit/MicroMOL-PER-L,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
spCond-50,spCond,"a measure of specific conductivity, or the concentration of dissolved ions",float,NA,data unavailable,ratio,numericDomain,NA,NA,microsiemensPerCentimeter,real,false,3,false,161,has unit,http://qudt.org/schema/qudt/hasUnit,Microsiemens Per Centimeter,http://qudt.org/vocab/unit/MicroS-PER-CentiM,has unit,http://qudt.org/schema/qudt/hasUnit,Microsiemens Per Centimeter,http://qudt.org/vocab/unit/MicroS-PER-CentiM,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
temp-51,temp,water temperature at sampling time,float,NA,data unavailable,ratio,numericDomain,NA,NA,celsius,real,false,-3,false,27.8,has unit,http://qudt.org/schema/qudt/hasUnit,Degree Celsius,http://qudt.org/vocab/unit/DEG_C,has unit,http://qudt.org/schema/qudt/hasUnit,Degree Celsius,http://qudt.org/vocab/unit/DEG_C,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
ANC960-52,ANC960,"acid neutralizing capacity measured on the Orion titration system, phased out after August 2017",float,NA,data unavailable,ratio,numericDomain,NA,NA,microEquivalentPerLiter,real,false,-999.9,false,179.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
ANCMet-53,ANCMet,acid neutralizing capacity measured on the Metrohm titration system,float,NA,data unavailable,ratio,numericDomain,NA,NA,microEquivalentPerLiter,real,false,-87.2,false,212.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
gageHt-54,gageHt,"measurement of gage height, or elevation of water surface in weir basin",float,NA,data unavailable,ratio,numericDomain,NA,NA,foot,real,false,0,false,6.5,has unit,http://qudt.org/schema/qudt/hasUnit,Foot,http://qudt.org/vocab/unit/FT,has unit,http://qudt.org/schema/qudt/hasUnit,Foot,http://qudt.org/vocab/unit/FT,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
hydroGraph-55,hydroGraph,describes the gradient of hydrograph limb at the time of sampling (ex. rising/falling/level),string,NA,data unavailable,nominal,textDomain,NA,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
flowGageHt-56,flowGageHt,streamflow rate measured as volume per unit time and is proportional to watershed area,float,NA,data unavailable,ratio,numericDomain,NA,NA,literPerSecond,real,false,0,false,2184.0394,has unit,http://qudt.org/schema/qudt/hasUnit,Liter Per Second,http://qudt.org/vocab/unit/L-PER-SEC,has unit,http://qudt.org/schema/qudt/hasUnit,Liter Per Second,http://qudt.org/vocab/unit/L-PER-SEC,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
